SERIES_ID,SUB_CATEGORY,TITLE,GENRE,SERIES_RATING,SEASON_NUM,SERIES_OVERVIEW,CAST,CREW,LOGO,POSTER,TRAILER
95,시리즈,버피와 뱀파이어,"Sci-Fi & Fantasy, 코미디, 드라마, Action & Adventure",15,7,전설로만 내려오고 있는 뱀파이어 슬레이어의 숙명을 지니고 살아가는 평범한 여학생이 친구들과 많은 조력자들과 함께 뱀파이어 및 괴물들을 퇴치해나가는 이야기,"사라 미셸 갤러, Nicholas Brendon, 앨리슨 해니건","드류 고다드, Drew Z. Greenberg, Rebecca Rand Kirshner",https://image.tmdb.org/t/p/original/5l2r7nv4dGWq1YQWaqBRe0FkQhi.png,https://image.tmdb.org/t/p/original/41jsOEYsh9lJBc6AZqGpR1ETpx5.jpg,https://www.youtube.com/watch?v=-1v_q6TWAL4
106,시리즈,The Andy Griffith Show,"Comedy, Family",,8,"The Andy Griffith Show is an American sitcom first televised on CBS between October 3, 1960 and April 1, 1968. Andy Griffith portrays the widowed sheriff of the fictional small community of Mayberry, North Carolina. His life is complicated by an inept, but well-meaning deputy, Barney Fife, a spinster aunt and housekeeper, Aunt Bee, and a precocious young son, Opie. Local ne'er-do-wells, bumbling pals, and temperamental girlfriends further complicate his life. Andy Griffith stated in a Today Show interview, with respect to the time period of the show: ""Well, though we never said it, and though it was shot in the '60s, it had a feeling of the '30s. It was when we were doing it, of a time gone by.""

The series never placed lower than seventh in the Nielsen ratings and ended its final season at number one. It has been ranked by TV Guide as the 9th-best show in American television history. Though neither Griffith nor the show won awards during its eight-season run, series co-stars Knotts and Bavier accumulated a combined total of six Emmy Awards. The show, a semi-spin-off from an episode of The Danny Thomas Show titled ""Danny Meets Andy Griffith"", spawned its own spin-off series, Gomer Pyle, U.S.M.C., a sequel series, Mayberry R.F.D., and a reunion telemovie, Return to Mayberry. The show's enduring popularity has generated a good deal of show-related merchandise. Reruns currently air on TV Land, and the complete series is available on DVD. All eight seasons are also now available by streaming video services such as Netflix.","Andy Griffith, Ron Howard, Frances Bavier","Fred Roos, Bob Ross, Sidney Hickox",,https://image.tmdb.org/t/p/original/smOam7qXPnqlfDlMx4I0UxK5ULB.jpg,https://www.youtube.com/watch?v=TvSXdO7SDCE
111,시리즈,7 vidas,Comedy,,15,The story of a group of friends in Madrid.,"Blanca Portillo, Paz Vega, Amparo Baró",,,,https://www.youtube.com/watch?v=None
121,시리즈,닥터 후,"드라마, Action & Adventure, Sci-Fi & Fantasy",12,26,'타디스'를 타고 미래와 과거를 넘나들며 외계로부터 지구를 지키기 위해 싸우는 닥터의 시간 여행 이야기,Sylvester McCoy,John Nathan-Turner,https://image.tmdb.org/t/p/original/ravZWAkRX4EMAfGlR9BtMXdvurO.png,https://image.tmdb.org/t/p/original/xinqAmYrZ1TEwowcQhgTkZVtVE0.jpg,https://www.youtube.com/watch?v=_iSzCV3C-50
141,시리즈,Cheers,Comedy,16,11,The story about a blue-collar Boston bar run by former sports star Sam Malone and the quirky and wonderful people who worked and drank there.,"Ted Danson, Kirstie Alley, Rhea Perlman","James Burrows, Glen Charles, Phoef Sutton",https://image.tmdb.org/t/p/original/axcHAYcCfLMnssvpmeq3xsNi6K3.png,https://image.tmdb.org/t/p/original/wyMKUGebTSZYsWsMnqbY9qdlqLL.jpg,https://www.youtube.com/watch?v=mLW-vr1-n7o
186,시리즈,위즈,"코미디, 범죄, 드라마",19,8,"제목인 Weeds는 영어로 대마초를 가리키기도 하고, 과부가 입는 검정색 로브를 칭하기도 한다. 캘리포니아의 평범한 중-상층 주부였던 낸시 바트윈이 남편의 갑작 스러운 죽음 후에 생계유지를 위해 대마초를 떼다팔며 일어나는 에피소드를 다루고 있다.","Mary-Louise Parker, Justin Kirk, Hunter Parrish","Victoria Morrow, Stephen Falk, Michael Trim",https://image.tmdb.org/t/p/original/7hzu8vJi0ZuX1tat4J0ICLQqib1.png,https://image.tmdb.org/t/p/original/gKUsBTa5b0GY7U4iWBseeBalfjO.jpg,https://www.youtube.com/watch?v=qZDIH2gbJMM
269,시리즈,One Tree Hill,Drama,16,9,"In Tree Hill, North Carolina two half brothers share a last name and nothing else. Brooding, blue-collar Lucas is a talented street-side basketball player, but his skills are appreciated only by his friends at the river court. Popular, affluent Nathan basks in the hero-worship of the town, as the star of his high school team. And both boys are the son of former college ball player Dan Scott whose long ago choice to abandon Lucas and his mother Karen, will haunt him long into his life with wife Deb and their son Nathan.","James Lafferty, Bethany Joy Lenz, Sophia Bush","Joe Davola, Brian Robbins, Mark Schwahn",https://image.tmdb.org/t/p/original/oEcHVvhnD4XHwdbR7Bg2F7y2vZB.png,https://image.tmdb.org/t/p/original/sOrelBaAhp7DZbPTivDwKEyPslC.jpg,https://www.youtube.com/watch?v=GIFbz7uTOKI
314,시리즈,스타 트렉: 엔터프라이즈,"Sci-Fi & Fantasy, Action & Adventure, 드라마",12,4,"이 시리즈는 United Federation of Planets이 창설되기 10년 전, 대략 오리지널 시리즈의 100년 전 시대에서 시작한다. 시리즈는 Earth starship Enterprise (NX-01)의 승무원에 의한 우주 탐험을 그리고 있다. ""엔터프라이즈 NX-01""은 2151년 지구에서 취역하였으며, 발사 시에는 통상적으로 워프5 (약 256광속)가 최대 속력으로 여겨졌다. 이는 당시까지 발사된 그 어떤 인류의 우주선보다도 빠른 수치였다. 선장은 조나단 아처 이다. 시즌 4 만에 조기 종영되었다.","Scott Bakula, Jolene Blalock, Connor Trinneer","Manny Coto, Rick Berman, Brannon Braga",https://image.tmdb.org/t/p/original/rOcqIDRTJltzOm8fXc7FBXA3X9S.png,https://image.tmdb.org/t/p/original/tsbBTABtNgu0ycsFpnIhiQ5woOM.jpg,https://www.youtube.com/watch?v=urYH6xEyXw0
456,시리즈,심슨 가족,"가족, 애니메이션, 코미디",15,36,"1989년 12월 FOX에서 방영을 시작한 애니메이션. 미국의 스프링필드를 배경으로 먹는 걸 유난히 밝히고 게으르며 독특한 성격의 가장 호머, 항상 사고만 치고 다니는 남편과 아이들의 뒤치다꺼리를 도맡아 하는 엄마 마지, 하루라도 장난을 치지 않고 넘어가는 날이 없는 장난꾸러기 아들 바트, 나이에 비해 꽤나 어른스럽고 똑똑한 리사, 그리고 말은 한마디도 못하지만 의외의 대활약을 보여주는 막내 메기 등 각각의 개성 만점 가족 구성원들이 펼치는 극적인 하루하루를 그리고 있다.","댄 카스텔라네타, 줄리 캐브너, Nancy Cartwright",Danny Elfman,https://image.tmdb.org/t/p/original/egAWqf9zUnB0o1pbLrGlsHSa5ha.png,"https://image.tmdb.org/t/p/original/3u9z0eKY4Zmc9DQATfKcSuMTpzi.jpg, https://image.tmdb.org/t/p/original/9n7May2CZEfdQxYaVK4HaqRv19H.jpg",https://www.youtube.com/watch?v=_jgYEYERYFQ
474,시리즈,Nash Bridges,"Action & Adventure, Drama",,6,Fun-loving San Francisco Police Department investigator Nash Bridges is part of the elite Special Investigations Unit. He tackles crime using his keen sense of humor and charm. Joe Dominguez comes out of retirement to become Bridges' wisecracking yet more rule-abiding partner.,"Don Johnson, Cheech Marin, Jodi Lyn O'Keefe","Daryl Tucker, Carlton Cuse",https://image.tmdb.org/t/p/original/kr0BXyB4mSeQmAqGK0Uwt6KOFdh.png,https://image.tmdb.org/t/p/original/hJeHSCFoxWN2Pt2lg56CKOi9g87.jpg,https://www.youtube.com/watch?v=None
